,Unnamed:0,date_time,station_id,forecast_tempC,forecast_humidity,season,forecast_windDirection,forecast_windSpeed,pm10,o3
0,0,0,3,3,67,Winter,1.0,24.0,48.0,54.0
1,1,1,3,2,67,Winter,120.0,23.0,52.0,44.0
2,2,2,3,2,68,Winter,239.0,21.0,54.0,49.0
3,3,3,3,2,68,Winter,358.0,20.0,29.0,56.0
4,4,4,3,2,68,Winter,357.0,19.0,18.0,46.0
5,5,5,3,2,69,Winter,357.0,17.0,23.0,38.0
6,6,6,3,3,69,Winter,356.0,15.0,18.0,42.0
7,7,7,3,4,64,Winter,238.0,15.0,15.0,30.0
8,8,8,3,5,60,Winter,121.0,14.0,17.0,37.0
9,9,9,3,6,55,Winter,3.0,13.0,9.0,46.0
10,10,10,3,7,52,Winter,120.0,12.0,20.0,61.0
11,11,11,3,8,49,Winter,236.0,11.0,14.0,71.0
12,12,12,3,9,46,Winter,353.0,10.0,13.0,77.0
13,13,13,3,8,47,Winter,247.0,9.0,22.0,81.0
14,14,14,3,8,48,Winter,141.0,7.0,24.0,83.0
15,15,15,3,8,50,Winter,35.0,5.0,26.0,78.0
16,16,16,3,7,51,Winter,71.0,4.0,20.0,71.0
17,17,17,3,7,52,Winter,17.0,3.0,24.0,52.0
18,18,18,3,6,53,Winter,143.0,1.0,34.0,30.0
19,19,19,3,6,54,Winter,157.0,3.0,54.0,21.0
20,20,20,3,5,55,Winter,170.0,5.0,16.0,26.0
21,21,21,3,5,55,Winter,184.0,6.0,148.0,29.0
22,22,22,3,5,59,Winter,188.0,7.0,184.0,28.0
23,23,23,3,5,62,Winter,192.0,8.0,188.0,15.0
24,24,0,3,5,66,Winter,196.0,9.0,148.0,15.0
25,25,1,3,6,68,Winter,188.0,9.0,154.0,3.0
26,26,2,3,6,70,Winter,180.0,8.0,17.0,2.0
27,27,3,3,7,72,Winter,172.0,7.0,78.0,3.0
28,28,4,3,7,76,Winter,213.0,5.0,68.0,12.0
29,29,5,3,7,79,Winter,254.0,3.0,41.0,21.0
30,30,6,3,7,82,Winter,295.0,1.0,30.0,23.0
31,31,7,3,7,78,Winter,213.0,3.0,28.0,14.0
32,32,8,3,8,73,Winter,132.0,6.0,36.0,8.0
33,33,9,3,9,69,Winter,50.0,8.0,31.0,21.0
34,34,10,3,9,67,Winter,51.0,7.0,34.0,25.0
35,35,11,3,9,65,Winter,52.0,6.0,37.0,28.0
36,36,12,3,10,63,Winter,53.0,5.0,38.0,33.0
37,37,13,3,10,66,Winter,67.0,6.0,36.0,55.0
38,38,14,3,9,68,Winter,81.0,6.0,31.0,66.0
39,39,15,3,9,71,Winter,95.0,7.0,21.0,69.0
40,40,16,3,9,74,Winter,99.0,8.0,21.0,65.0
41,41,17,3,8,77,Winter,12.0,8.0,22.0,38.0
42,42,18,3,8,79,Winter,15.0,8.0,43.0,13.0
43,43,19,3,8,80,Winter,111.0,8.0,78.0,14.0
44,44,20,3,8,80,Winter,118.0,7.0,115.0,13.0
45,45,21,3,8,81,Winter,124.0,7.0,128.0,20.0
46,46,22,3,8,81,Winter,135.0,6.0,175.0,22.0
47,47,23,3,9,81,Winter,146.0,6.0,224.0,14.0
48,48,0,3,9,82,Winter,157.0,6.0,244.0,14.0
49,49,1,3,9,83,Winter,158.0,6.0,21.0,7.0
50,50,2,3,9,85,Winter,159.0,6.0,142.0,5.0
51,51,3,3,8,86,Winter,160.0,7.0,19.0,1.0
52,52,4,3,9,85,Winter,176.0,7.0,77.0,1.0
53,53,5,3,9,84,Winter,191.0,8.0,69.0,2.0
54,54,6,3,10,83,Winter,27.0,8.0,48.0,5.0
55,55,7,3,10,84,Winter,24.0,9.0,37.0,1.0
56,56,8,3,11,85,Winter,21.0,11.0,30.0,1.0
57,57,9,3,12,86,Winter,198.0,12.0,38.0,2.0
58,58,10,3,12,84,Winter,198.0,17.0,39.0,-9999.0
59,59,11,3,13,83,Winter,197.0,22.0,11.0,26.0
60,60,12,3,13,82,Winter,197.0,28.0,40.0,50.0
61,61,13,3,14,81,Winter,21.0,28.0,28.0,60.0
62,62,14,3,14,81,Winter,25.0,29.0,24.0,65.0
63,63,15,3,14,81,Winter,29.0,30.0,24.0,64.0
64,64,16,3,14,79,Winter,29.0,27.0,35.0,68.0
65,65,17,3,14,78,Winter,210.0,25.0,26.0,66.0
66,66,18,3,14,77,Winter,211.0,23.0,34.0,61.0
67,67,19,3,14,78,Winter,218.0,22.0,32.0,42.0
68,68,20,3,13,79,Winter,224.0,21.0,43.0,65.0
69,69,21,3,13,80,Winter,231.0,20.0,25.0,66.0
70,70,22,3,13,79,Winter,227.0,17.0,20.0,62.0
71,71,23,3,13,78,Winter,223.0,14.0,29.0,58.0
72,72,0,3,13,77,Winter,219.0,12.0,30.0,63.0
